EID,Title,URL
661493465,"Seducing Taylor Swift | 2 Bears, 1 Cave Ep. 204","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH1405254857.mp3?updated=1704751653"
661493463,"2 Bears, 2 Great Minds w/ Andrew Huberman & Cory Henry | 2 Bears, 1 Cave Ep. 203","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH1816285881.mp3?updated=1704751900"
661493462,"Bears vs. Wild Animals | 2 Bears, 1 Cave Ep. 202","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH7420586402.mp3?updated=1704751974"
661493461,"Sober Bert | 2 Bears, 1 Cave Ep. 201","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH6359003011.mp3?updated=1704752261"
661493458,"Episode 200 Spectacular | 2 Bears, 1 Cave Ep. 200","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH4822394809.mp3?updated=1704838975"
661493457,"I Almost Died | 2 Bears, 1 Cave Ep. 199","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH8551452436.mp3?updated=1704839168"
661493456,"Beer Olympics | 2 Bears, 1 Cave Ep. 198","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH9812008930.mp3?updated=1704839463"
661493455,"Wildest Shark Attacks w/ Theo Von | 2 Bears, 1 Cave Ep. 197","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH4807251654.mp3?updated=1707416268"
661493454,"Rob Lowe's Incredible Life | 2 Bears, 1 Cave Ep. 196","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH9124302701.mp3?updated=1704839883"
661493452,"Fun With Chloroform | 2 Bears, 1 Cave Ep. 195","https://pdst.fm/e/pscrb.fm/rss/p/pfx.vpixl.com/u8u9X/clrtpod.com/m/mgln.ai/e/1118/arttrk.com/p/YMH00/traffic.megaphone.fm/YMH4469328861.mp3?updated=1704840161"
